osmid,name,type,mob_lat,mob_lon,fac_id
1499530196,nan,bus_station,-73.544073,41.047096,0
3119914749,nan,parking,-73.55962289999999,41.05855079999998,0
3256112986,Stamford,railway,-73.5420246,41.04690419999999,0
3345225912,nan,railway,-73.5431682,41.0469658,0
3450791681,Bell Street Garage,parking,-73.5410317,41.05236060000001,0
210314644,nan,parking,-73.54050272996912,41.04660314725178,0
327715951,nan,parking,-73.544103967746,41.04658252415123,0
327715995,nan,parking,-73.54080658254206,41.04599950022885,0
365105876,nan,parking,-73.540767424848,41.05225597500574,0
398281208,nan,parking,-73.54194339394117,41.05438752983427,0
398360923,nan,parking,-73.54343294459899,41.05312556903785,0
404841823,nan,parking,-73.54235777971745,41.05826606200187,0
452302997,nan,parking,-73.55411508155424,41.04835468912796,0
452303000,nan,parking,-73.55352793473985,41.04851234988882,0
591672516,nan,parking,-73.54279707379011,41.05715320705888,0
591672517,nan,parking,-73.54112766620418,41.05757426773736,0
591672520,nan,parking,-73.54107758792294,41.05669392569883,0
591672540,nan,parking,-73.54877279067821,41.05415108846444,0
591672541,nan,parking,-73.54804965346752,41.05459961416912,0
591672545,nan,parking,-73.5624322470818,41.04945742196337,0
591672546,nan,parking,-73.56280639873124,41.05025706615202,0
591672547,nan,parking,-73.56227793974247,41.05103309713204,0
591672550,nan,parking,-73.56366737739877,41.04764425867081,0
254006807,nan,parking,-72.79231041391127,41.73572895272191,1
254006813,nan,parking,-72.79214310463671,41.73779233673295,1
254006816,Shuttle Lot 3,parking,-72.79073610901551,41.73650345099668,1
254006817,Lot L,parking,-72.78907124825444,41.73241889623149,1
544708392,nan,parking,-72.78963709864753,41.73339808320809,1
1991864544,nan,railway,-73.2026243,41.20191929999999,2
1991864552,nan,railway,-73.20209250000001,41.2008395,2
131432910,nan,parking,-73.21437606679348,41.19314479975912,2
131432923,nan,parking,-73.21372113540187,41.19250662993925,2
188554901,nan,parking,-73.20276374745676,41.20212358903814,2
188554905,nan,parking,-73.20231355504382,41.20057179635225,2
188554956,nan,parking,-73.20267981036483,41.20105353992881,2
201342274,nan,parking,-73.20066569975333,41.19522300232893,2
206862384,nan,parking,-73.20811509777469,41.19764141821164,2
225871710,nan,parking,-73.20330782136239,41.20016575738283,2
337627587,nan,parking,-73.19200686054074,41.20119139030113,2
339555494,nan,parking,-73.19804646721524,41.19422633222116,2
339555495,nan,parking,-73.19762648042457,41.19501326779325,2
339555496,nan,parking,-73.1987656086405,41.19374048483667,2
339563267,nan,parking,-73.19924712985021,41.1944942772929,2
339563268,nan,parking,-73.19887625587985,41.19414478703541,2
339563269,nan,parking,-73.19926835213992,41.19404509891448,2
339563270,nan,parking,-73.19849869096551,41.19455831351134,2
339563854,nan,parking,-73.2016965228438,41.19449513059261,2
339563855,nan,parking,-73.2007583360311,41.1945955534819,2
339574327,nan,parking,-73.19987407652583,41.19726083671519,2
339942036,nan,parking,-73.19824322546037,41.19469657725422,2
340037145,nan,parking,-73.1920259153852,41.19897786765178,2
340037146,nan,parking,-73.19210120617254,41.19850608900036,2
340037147,nan,parking,-73.19273596811107,41.19785662068611,2
340098038,nan,parking,-73.19573417310293,41.19216620362975,2
343130377,nan,parking,-73.1956367410468,41.19307180634085,2
343130378,nan,parking,-73.19620041684576,41.19144042226257,2
344023591,nan,parking,-73.19201110177161,41.19919153658588,2
344023593,nan,parking,-73.19276933733644,41.19662108056413,2
344023594,nan,parking,-73.19171524680434,41.19959588098398,2
347000116,nan,parking,-73.20129320445866,41.19922456877475,2
347000117,nan,parking,-73.20165035025393,41.19970777630195,2
1499530196,nan,bus_station,-73.544073,41.047096,0
3119914749,nan,parking,-73.55962289999999,41.05855079999998,0
3256112986,Stamford,railway,-73.5420246,41.04690419999999,0
3345225912,nan,railway,-73.5431682,41.0469658,0
3450791681,Bell Street Garage,parking,-73.5410317,41.05236060000001,0
210314644,nan,parking,-73.54050272996912,41.04660314725178,0
327715951,nan,parking,-73.544103967746,41.04658252415123,0
327715995,nan,parking,-73.54080658254206,41.04599950022885,0
365105876,nan,parking,-73.540767424848,41.05225597500574,0
398281208,nan,parking,-73.54194339394117,41.05438752983427,0
398360923,nan,parking,-73.54343294459899,41.05312556903785,0
404841823,nan,parking,-73.54235777971745,41.05826606200187,0
452302997,nan,parking,-73.55411508155424,41.04835468912796,0
452303000,nan,parking,-73.55352793473985,41.04851234988882,0
591672516,nan,parking,-73.54279707379011,41.05715320705888,0
591672517,nan,parking,-73.54112766620418,41.05757426773736,0
591672520,nan,parking,-73.54107758792294,41.05669392569883,0
591672540,nan,parking,-73.54877279067821,41.05415108846444,0
591672541,nan,parking,-73.54804965346752,41.05459961416912,0
591672545,nan,parking,-73.5624322470818,41.04945742196337,0
591672546,nan,parking,-73.56280639873124,41.05025706615202,0
591672547,nan,parking,-73.56227793974247,41.05103309713204,0
591672550,nan,parking,-73.56366737739877,41.04764425867081,0
254006807,nan,parking,-72.79231041391127,41.73572895272191,1
254006813,nan,parking,-72.79214310463671,41.73779233673295,1
254006816,Shuttle Lot 3,parking,-72.79073610901551,41.73650345099668,1
254006817,Lot L,parking,-72.78907124825444,41.73241889623149,1
544708392,nan,parking,-72.78963709864753,41.73339808320809,1
1991864544,nan,railway,-73.2026243,41.20191929999999,2
1991864552,nan,railway,-73.20209250000001,41.2008395,2
131432910,nan,parking,-73.21437606679348,41.19314479975912,2
131432923,nan,parking,-73.21372113540187,41.19250662993925,2
188554901,nan,parking,-73.20276374745676,41.20212358903814,2
188554905,nan,parking,-73.20231355504382,41.20057179635225,2
